[20260820_182133] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_182441] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 9
[20260820_182516] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_182609] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_182632] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_182639] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_182741] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_182746] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 15
[20260820_182812] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 29
[20260820_182825] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 45
[20260820_182834] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 44
[20260820_182843] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 16
[20260820_182853] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 36
[20260820_182854] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 56
    note: Tied between Ctrl+C Bot, Random Bot -> sudden-death round 1 on a 17x17 board, 250-turn limit
[20260820_182857] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 48
[20260820_182858] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 41
[20260820_182859] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 40
[20260820_182900] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 28
[20260820_182901] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 60
[20260820_182902] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 43
    note: Tied between Ctrl+C Bot, Random Bot -> sudden-death round 1 on a 17x17 board, 250-turn limit
[20260820_182902] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 32
[20260820_182903] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 22
[20260820_182904] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 31
[20260820_182905] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 28
[20260820_182906] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 36
[20260820_182907] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 18
[20260820_182908] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 14
[20260820_182909] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 17
    note: Tied between Ctrl+C Bot, Random Bot -> sudden-death round 1 on a 17x17 board, 250-turn limit
[20260820_182937] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182938] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182939] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182940] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182940] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182941] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182942] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182942] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182943] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182944] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182944] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182945] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182946] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182946] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182947] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182948] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_182948] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183015] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183244] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183246] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183248] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183249] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183250] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183251] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183252] Example Match | players: Greedy Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 80
[20260820_183719] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 15
    note: Tied between Ctrl+C Bot, Random Bot -> sudden-death round 1 on a 17x17 board, 250-turn limit
[20260820_183749] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 15
    note: Tied between Ctrl+C Bot, Random Bot -> sudden-death round 1 on a 17x17 board, 250-turn limit
[20260820_183754] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 16
[20260820_183801] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 16
[20260820_183802] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 16
[20260820_183813] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 13
[20260820_183907] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 28
[20260820_183909] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 31
[20260820_183910] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 34
[20260820_183912] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 24
[20260820_183913] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 58
[20260820_184315] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 103
[20260820_184324] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 24
[20260820_185832] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_190007] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 77
[20260820_190009] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 43
[20260820_190016] Example Match | players: Random Bot, Ctrl+C Bot | winner: Random Bot | turns: 18
[20260820_190139] Example Match | players: Random Bot, Ctrl+C Bot | winner: Ctrl+C Bot | turns: 104
